배치번호,설비호기,교대조,소성온도,소성시간,입도,수분율,불순물,성형압력,방전용량,양품여부
B00437,D ,day,863.0,150,15.01,0.99,944,19.5,175.3,1
B01338,D,day,907.7,90,13.64,1.52,892,25.1,171.9,1
B00182,A,day,823.4,90,13.6,1.59,"1,231",23.3,163.4,0
B01116, F,night,769.3,90,12.28,0.93,477,22.8,153.0,0
B00249,A,day,803.4,105,18.64,1.33,"1,305",23.6,158.0,0
B00784, D,night,819.0,105,,,940,25.7,164.0,0
B01206,D,night,829.7,150,13.07,0.83,652,27.2,172.5,1
B00914,A,day,839.8,105,12.3,0.85,751,26.0,173.4,1
B01065,C,night,832.2,105,14.17,1.41,"1,034",20.6,170.5,1
B00507,E ,night,861.1,135,17.56,0.49,915,24.6,179.2,1
B00494,E,night,815.1,120,9.75,0.96,638,23.4,173.9,1
B00697,A,day,820.8,105,16.53,1.15,520,26.0,167.2,0
B00861,A,day,854.9,120,15.24,0.99,"1,307",25.2,170.8,1
B00208,E,day,814.2,120,10.81,0.8,770,21.7,172.1,1
B01040,C,day,883.7,105,7.29,0.44,"1,363",23.5,176.5,1
B01194, B,night,845.8,90,13.63,0.33,"1,044",23.9,172.6,1
B00918,E,night,826.5,120,10.6,1.31,695,23.8,171.5,1
B00885,b,day,863.1,90,13.64,1.39,759,23.2,175.2,1
B00527,C,day,855.9,105,11.17,0.63,329,26.3,178.7,1
B00459, D,night,908.0,105,13.53,0.94,"1,165",25.3,177.4,1
B01162,F,day,851.4,135,11.18,1.06,"1,315",29.1,174.3,1
B01318,D,night,811.8,150,11.0,1.4,735,20.9,165.8,0
B00802,C,day,865.2,135,14.72,0.87,717,25.2,180.2,1
B00844,A,day,852.2,135,13.15,1.45,"1,478",27.2,169.3,1
B00054, B,night,841.2,135,9.21,1.82,389,28.4,176.0,1
B01243,B,day,887.8,90,11.22,1.4,277,22.6,175.6,1
B00469,E,day,852.5,105,6.2,1.53,801,27.1,179.2,1
B00649,E,day,884.0,150,14.13,1.41,450,23.8,179.8,1
B00512,D,night,877.2,120,12.44,,921,19.4,176.7,1
B00408,D,day,843.4,90,11.6,1.48,"1,099",27.3,169.0,1
B00687,A,day,887.5,120,12.83,0.24,880,23.5,176.9,1
B00057,B,day,835.8,120,13.98,1.46,959,21.3,169.2,1
B00075,f,day,847.0,90,10.73,0.92,782,27.2,173.0,1
B00244,E ,night,866.9,135,N/A,-,819,22.3,177.4,1
B01294,C ,day,842.7,105,16.58,1.4,363,999.0,175.8,1
B01084,F ,day,855.6,105,11.71,1.49,446,19.0,173.8,1
B01286,D,day,829.1,90,8.82,1.12,902,26.5,172.4,1
B00970,F,night,858.5,120,12.47,1.1,"1,207",23.0,179.2,1
B00465,E,night,920.9,105,-,1.11,"1,012",25.6,176.2,1
B00515,E,day,853.8,120,13.56,1.87,890,27.8,176.0,1
B00881,D,night,879.3,135,8.14,0.88,559,25.4,179.4,1
B00630,D,day,877.1,150,11.45,0.92,732,25.3,174.5,1
B00850,d,day,840.4,105,11.83,0.73,655,26.2,177.0,1
B00523,F ,day,849.1,105,13.98,1.23,771,22.5,177.1,1
B00136,e,night,870.6,105,7.44,0.5,463,25.3,183.7,1
B00413,B,night,861.4,150,7.99,1.24,241,22.6,179.8,1
B01287,A,night,856.5,120,6.02,1.21,940,21.9,176.2,1
B00302,A ,day,873.9,105,14.0,1.66,912,23.5,172.5,1
B00112,D,night,855.9,105,10.29,0.37,653,24.1,177.4,1
B00710,B ,day,881.9,90,14.67,1.57,439,25.9,173.6,1
B01344,a,night,842.4,120,11.03,1.93,857,20.1,171.5,1
B01383,A,night,812.8,135,13.61,0.86,"1,023",26.5,163.3,0
B00854,B ,night,841.5,135,9.91,1.26,"1,362",25.3,173.8,1
B00349,E ,day,832.7,90,14.62,1.39,749,24.3,167.1,0
B00682,A,day,896.4,90,12.21,1.09,557,18.9,178.6,1
B00264, C,night,815.6,120,8.41,2.17,559,26.7,164.5,0
B00354, D,night,879.7,150,12.3,1.06,"1,067",24.4,179.2,1
B00303,E,night,857.7,105,11.47,1.65,988,24.5,175.8,1
B01097,C,day,858.9,135,12.15,0.95,"1,565",26.6,173.9,0
B01224,A,night,817.6,90,12.64,1.28,413,25.9,166.4,0
B00551,B,night,871.9,90,N/A,1.34,352,27.1,182.3,1
B00690,A,day,877.8,105,11.27,1.59,595,26.4,174.5,1
B01177,d,day,853.3,120,13.68,1.13,924,21.8,175.5,1
B00490,D ,day,855.3,105,10.48,1.04,349,24.3,177.2,1
B01180,C ,day,829.6,135,N/A,1.3,730,25.4,169.9,1
B00774,E ,night,857.4,90,11.66,,473,23.3,175.5,1
B01288, F,day,856.3,135,15.45,1.16,"1,252",22.0,175.6,1
B00282,E,day,850.1,120,7.2,1.04,254,24.8,181.4,1
B00046,F,day,841.4,135,8.06,0.62,924,22.9,180.8,1
B00668, E,night,824.6,135,10.94,1.76,607,25.8,170.8,1
B01060,B,day,848.7,135,10.53,1.45,427,23.9,171.8,1
B00186,c,day,862.0,120,12.26,1.42,151,20.8,177.6,1
B01171,C,night,813.5,105,10.5,1.24,635,23.3,166.3,0
B00764,E,night,873.2,150,11.69,0.59,"1,174",24.7,180.4,1
B00109,E,day,888.9,105,13.95,1.62,612,22.5,179.5,1
B01033,E,day,783.0,105,13.3,1.2,"1,568",25.0,152.8,0
B00984,A ,night,872.0,90,11.49,0.93,"1,368",20.0,170.4,1
B00828,c,day,847.4,135,13.92,1.47,837,21.8,172.0,1
B01399,F,night,865.2,120,13.07,1.1,"1,457",18.7,178.7,1
B00168,E,night,876.4,135,10.57,1.55,361,23.6,185.1,1
B00074,C,night,910.9,105,-,,935,23.4,176.2,1
B00226,E,night,860.1,150,8.89,1.22,34,25.4,181.8,1
B00763,D,night,852.9,90,6.53,1.3,555,22.6,177.1,1
B00370,E,night,864.4,150,15.26,1.85,389,25.4,175.0,1
B00113,D,night,844.3,90,8.95,0.87,751,23.8,176.6,1
B01334,A,day,847.8,135,13.47,1.56,"1,160",24.5,170.8,1
B00891,f,day,887.2,105,11.56,1.52,856,21.6,177.9,1
B01096, F,day,886.1,135,13.28,1.22,736,26.7,176.2,1
B00323,D,day,853.9,135,12.08,1.42,285,26.9,178.8,1
B00624,C,day,790.9,120,15.02,1.21,815,25.3,161.4,0
B01003,D,day,879.5,105,10.6,0.65,"1,240",25.5,177.5,1
B00448,B,day,846.2,120,10.14,0.86,418,27.4,176.5,1
B01256,D,day,846.3,105,16.7,0.71,670,27.8,175.0,1
B00146,C,night,896.2,105,12.94,0.95,952,24.9,181.9,1
B00815,A,night,839.2,105,11.23,1.26,687,22.1,173.2,1
B00032, B,day,828.7,135,11.99,0.98,832,999.0,167.3,0
B00656,E,day,846.7,105,9.06,1.8,"1,208",25.5,169.6,1
B01314,F,day,841.9,90,15.96,1.44,788,22.3,175.2,1
B01349,C,day,867.2,135,11.25,0.92,689,22.8,177.9,1
B00029,A,night,921.2,120,14.89,1.28,703,22.9,173.3,1
B00247,D,day,867.5,150,16.66,1.32,"1,042",23.2,173.9,1
B00010,D,day,812.0,105,11.93,1.2,"1,400",23.3,165.3,0
B01063,A,day,851.7,90,8.98,1.34,506,23.1,173.2,1
B00424,d,night,842.9,135,11.52,1.73,721,25.1,179.0,1
B01143,A ,night,779.9,150,13.54,1.26,"1,011",24.2,154.6,0
B00868,D ,day,876.5,105,11.52,1.91,679,29.3,174.4,1
B00662,C,day,872.8,105,16.39,N/A,402,26.0,175.4,1
B00371,D,day,887.2,150,8.4,0.72,461,20.9,185.5,1
B00291,E,day,911.4,135,,1.66,716,23.4,178.1,1
B01369,F,day,871.6,135,13.66,0.81,450,24.1,180.2,1
B01276,E,day,780.2,105,-,N/A,"1,012",26.1,151.8,0
B01233,B,night,821.5,120,15.67,-,616,21.5,168.5,1
B01247,C ,day,856.4,90,12.89,1.3,593,21.0,174.8,1
B00372,F,night,882.5,90,15.1,0.45,"1,405",24.9,177.1,1
B00989,E,night,892.9,105,6.61,1.46,839,24.4,180.4,1
B00375, F,night,877.5,135,9.44,0.51,"1,646",20.6,180.5,0
B00849,e,day,857.9,150,14.22,1.44,869,27.9,173.9,1
B00752,D,day,836.8,150,N/A,1.58,"1,485",25.2,171.2,1
B00775,A ,night,827.4,105,8.59,N/A,"1,013",24.6,168.0,1
B01091,A,day,814.1,135,-,1.37,968,22.5,162.1,0
B00026, D,day,846.5,120,13.98,1.51,"1,080",23.4,173.4,1
B01393,E,day,821.3,90,10.9,0.83,529,22.7,174.5,1
B00947,e,day,864.1,135,11.86,1.71,357,27.5,176.0,1
B00031,F,day,818.7,135,14.75,0.74,995,24.4,171.1,1
B00056,b,day,875.5,135,16.36,1.13,"1,092",22.3,173.3,1
B01104,A,day,852.1,135,9.45,1.09,788,27.3,174.3,1
B00442,F,night,844.7,105,18.81,1.08,773,26.1,177.6,1
B00116,A ,day,844.8,90,10.41,1.68,968,25.4,167.9,0
B00705,C,day,849.8,90,14.59,1.29,463,21.5,171.7,1
B01048, A,day,852.5,90,12.44,0.94,323,25.9,176.8,1
B00681,C,night,847.8,120,10.86,1.32,"1,164",21.3,174.1,1
B00900,B,day,896.5,135,11.15,0.98,733,25.2,181.2,1
B00183,F,night,797.1,105,11.26,0.76,"1,127",23.5,166.3,0
B00241,C,night,820.7,90,8.36,1.2,472,25.4,168.5,1
B00361,A ,day,832.1,105,12.22,0.91,899,24.9,168.6,1
B00396,C,day,900.5,150,10.23,1.48,"1,019",25.8,178.5,1
B00167,C,day,828.1,150,-,1.19,417,30.7,174.0,1
B00433,b,day,843.8,90,12.78,1.03,62,22.9,176.0,1
B01152,C ,day,829.4,150,13.0,-,"1,019",24.3,175.3,1
B00341,D ,day,839.7,105,11.35,1.53,"1,179",21.2,175.6,1
B00369,F,night,846.1,150,15.5,1.38,998,25.5,173.0,1
B01044,C,day,792.1,120,9.0,1.22,183,26.2,162.6,0
B00505, F,night,856.4,105,13.54,-,"1,104",26.3,175.2,1
B00466,C,day,849.6,120,,1.32,"1,365",25.0,166.6,0
B00595,C,day,852.4,105,13.28,1.38,"1,107",21.5,173.3,1
B00560,A,night,883.6,120,11.89,,"1,407",22.1,170.8,1
B01264,E,day,847.0,90,16.84,1.04,639,22.8,175.5,1
B00817,D,day,879.2,90,14.98,1.25,825,23.3,176.7,1
B00492, B,day,844.8,105,13.17,1.04,"1,132",22.0,170.9,1
B00299,D,night,840.5,150,11.77,1.37,"1,046",24.9,174.9,1
B00192,D,day,767.4,120,14.81,1.55,654,25.5,149.5,0
B00446,A,day,836.4,90,15.01,1.33,"1,306",24.3,165.3,0
B00666,f,day,885.3,90,8.9,1.12,579,22.1,179.3,1
B00536,A,day,898.0,105,14.48,1.7,820,22.3,171.9,1
B00002,A,day,859.1,105,13.81,1.29,277,21.8,175.6,1
B01290,F,day,862.4,150,11.96,0.75,745,22.1,183.5,1
B01203,C,day,857.3,105,11.44,1.02,"1,242",27.2,172.4,1
B01268,D,night,799.7,90,13.31,0.64,647,24.6,161.5,0
B01389, D,night,905.4,90,9.17,0.76,997,22.3,179.2,1
B01253,C,day,880.1,150,8.67,1.44,"1,373",20.6,178.9,1
B00537,B,night,834.9,150,11.64,2.08,646,26.7,167.5,0
B00212,D,day,805.4,120,16.61,0.94,474,26.4,164.1,0
B00339,B,night,827.7,135,12.37,1.23,"1,140",25.1,164.3,0
B00714,D,night,836.1,105,10.22,1.37,876,22.3,174.5,1
B00562,A,night,847.2,90,11.63,1.72,"1,190",25.8,169.5,1
B00501,D,night,801.4,135,10.95,0.64,"1,203",22.4,163.5,0
B00956,A,day,889.6,150,12.66,1.14,"1,305",22.6,172.7,1
B00547,F,day,852.4,135,12.39,1.03,"1,107",23.8,177.1,1
B00460,F,day,848.1,150,7.76,1.24,726,22.9,181.5,1
B01335,f,night,866.0,90,11.75,1.67,927,25.6,176.5,1
B01361,E,night,890.6,120,13.83,1.51,643,27.0,178.8,1
B00127,E,day,860.2,150,11.51,1.15,668,24.8,180.1,1
B00644,D,day,810.1,135,13.83,0.74,803,24.5,169.9,1
B01022,d,night,863.6,135,11.84,1.08,"1,413",22.8,171.9,1
B01090,E,day,857.3,105,14.6,0.73,662,23.4,177.5,1
B00221,F,day,853.2,150,9.89,0.62,684,22.8,179.2,1
B00085,E,day,806.1,150,13.26,1.09,855,27.2,164.1,0
B00965,F,night,906.1,105,8.69,1.17,"1,272",26.0,179.5,1
B01081,D,day,852.2,150,13.04,-,754,22.0,174.5,1
B00736,A,night,870.0,135,7.42,1.55,606,24.8,178.7,1
B01174,E ,night,853.0,90,10.6,-,"1,218",25.5,175.2,1
B00398,a,night,834.7,90,13.57,N/A,333,21.7,172.5,1
B00534,D,day,807.4,120,13.89,0.49,423,24.7,167.7,0
B00322,B,night,845.7,90,17.92,1.18,588,24.6,170.4,1
B01043,C,day,855.4,150,9.16,0.97,"1,091",20.9,177.6,1
B00175,F,night,903.4,90,10.66,1.54,730,24.4,177.7,1
B00733,D ,day,839.2,150,9.73,0.77,"1,116",23.3,176.7,1
B00496,D,day,864.5,150,11.42,1.4,"1,222",27.9,175.5,1
B00431,C ,day,853.5,105,14.82,1.27,747,22.3,176.1,1
B00922,E,day,861.6,120,11.75,1.43,654,22.7,174.3,1
B00636,E,day,848.5,120,-,0.96,"1,194",26.9,173.8,1
B00658,B,day,874.0,90,13.56,1.35,"1,110",24.6,169.7,1
B00432,C,day,831.1,135,9.4,1.04,664,21.5,168.3,1
B00336,E,day,820.8,90,10.25,1.21,"1,210",24.0,166.3,0
B00422,f,day,845.0,105,11.27,1.48,"1,224",25.4,173.4,1
B01109,B,day,873.5,105,11.56,0.97,644,23.8,176.5,1
B01009,B ,night,858.3,105,11.24,1.18,989,23.8,176.9,1
B00150,a,day,847.4,135,12.41,1.4,461,23.1,171.9,1
B00873,F,night,806.3,105,16.03,0.97,865,18.5,164.6,0
B00276,E,night,873.6,135,11.67,1.28,880,999.0,178.3,1
B01350,E,day,874.1,135,11.6,1.52,935,23.1,175.6,1
B01276,E,day,780.2,105,-,N/A,"1,012",26.1,151.8,0
B00739,D,day,825.0,120,12.9,0.98,"1,342",23.0,166.4,0
B01260,A,night,850.9,150,11.0,1.19,761,24.9,174.2,1
B00206,E,night,802.1,135,11.85,0.65,944,26.0,163.3,0
B00983,D,day,860.9,90,12.8,1.21,19,20.7,178.2,1
B00785,a,night,855.1,150,17.24,1.0,"1,058",22.8,176.2,1
B01159, D,night,831.2,105,N/A,1.0,884,20.6,169.8,1
B00911,D,day,819.1,105,,0.94,575,22.5,166.8,0
B00574, F,night,821.0,105,13.36,1.4,"1,408",26.7,165.1,0
B00063,E,day,873.3,90,12.8,1.39,644,22.4,182.4,1
B00321,d,day,879.9,120,9.37,0.86,"1,168",25.5,180.1,1
B00935,B,day,882.9,135,17.02,0.89,651,20.9,180.1,1
B01071, F,day,873.6,150,12.24,1.6,609,23.2,179.1,1
B01270,A,night,892.7,120,9.86,1.32,661,21.5,174.0,1
B00344,B,day,850.2,90,15.08,1.63,754,24.0,170.6,1
B00087,B,day,891.8,90,13.56,0.87,"1,066",23.1,172.1,1
B00104,c,night,865.8,105,11.4,1.17,745,24.5,173.4,1
B01280,B,day,855.0,90,16.5,1.76,898,28.2,171.0,1
B01150,A,day,901.6,150,13.23,1.68,795,27.6,178.4,1
B00822,B,night,849.9,90,9.36,0.96,"1,487",24.8,168.3,1
B00001,C,night,879.2,120,,1.11,721,20.3,178.4,1
B01028,C,day,883.7,120,13.86,0.73,974,28.4,178.8,1
B01158,F,day,835.1,135,10.32,1.24,413,24.6,176.3,1
B00777,E,night,838.3,150,8.67,1.23,929,22.3,175.7,1
B01176,A,day,876.2,105,10.91,1.53,818,19.6,172.0,1
B00261,F,night,896.0,90,8.33,1.09,874,23.3,180.5,1
B00254,C,day,776.4,135,12.99,1.03,"1,008",25.8,154.1,0
B00558,A,night,845.8,150,13.27,1.21,679,27.7,177.2,1
B01316,c,night,927.8,120,10.24,1.53,611,26.4,177.2,1
B00645,F,day,815.5,90,12.19,1.51,591,25.0,164.1,0
B00155,A ,night,867.1,120,11.86,0.78,"1,331",22.8,175.3,1
B00210,E,night,880.0,135,14.44,1.27,807,22.8,178.6,1
B00960,F ,night,878.4,105,13.98,1.08,720,22.6,178.5,1
B00125,C,day,841.1,90,8.8,1.23,"1,003",21.3,174.8,1
B00805,D ,day,839.6,90,10.21,0.9,638,26.8,170.6,1
B00631,d,night,816.4,90,18.28,1.52,"1,282",26.3,160.8,0
B00663,B,day,844.8,105,10.81,1.07,908,24.2,171.4,1
B00443,D,day,851.2,120,11.21,1.43,734,27.2,178.0,1
B01273,C,night,897.5,90,10.93,0.85,778,25.9,176.9,1
B00744,A,night,787.3,120,12.12,1.34,819,23.0,156.2,0
B01302,A ,night,880.6,120,12.49,,20,23.9,180.8,1
B00388,D,day,933.8,105,N/A,0.82,"1,242",24.6,171.2,1
B00177,F,day,881.5,90,8.99,0.88,590,26.8,178.3,1
B01212,D,night,835.2,120,-,1.83,"1,476",25.3,167.2,0
B01127,A,night,846.4,135,8.76,0.89,747,20.9,176.7,1
B00704,B ,night,838.4,105,11.29,1.61,349,25.0,171.5,1
B01007,F,night,854.8,135,11.7,-,296,28.2,178.4,1
B00435,C,day,863.0,120,12.78,1.82,509,23.3,177.5,1
B00162,C ,night,903.1,120,12.64,0.64,621,23.4,184.8,1
B00309, B,night,814.3,150,11.23,0.93,"1,614",23.6,163.5,0
B00134,A,night,899.3,135,11.98,0.62,908,25.6,179.3,1
B00738,c,day,862.6,90,12.06,1.33,"1,028",22.5,174.4,1
B00684,a,night,829.6,120,13.0,1.03,"1,360",27.4,167.7,0
B00611,E,day,838.1,120,12.54,1.06,663,27.1,173.5,1
B00841,A ,night,918.2,135,8.82,1.66,985,22.3,175.1,1
B00124,B,day,832.7,90,11.66,1.74,"1,081",22.7,162.8,0
B00017,A,day,908.5,90,12.52,1.34,992,25.2,176.9,1
B00070,C,night,850.0,150,12.15,1.49,952,24.2,174.8,1
B01095,a,night,819.5,150,16.89,0.64,532,24.2,170.3,1
B00471,E,day,837.5,90,17.47,0.93,482,24.8,175.6,1
B01368,A,night,887.2,105,16.49,1.52,"1,132",23.3,175.1,1
B00650,D,day,859.5,105,12.74,1.2,"1,700",22.0,172.7,0
B00790,B ,day,880.8,135,15.15,1.18,"1,211",21.6,176.0,1
B01230,C,day,903.2,135,N/A,,325,25.0,183.1,1
B01222,C,night,844.5,150,9.85,1.34,23,21.0,176.9,1
B00521, D,day,871.8,120,13.49,1.41,390,26.2,179.0,1
B01124,D,day,865.6,105,9.26,1.0,"1,328",26.9,174.5,1
B00417,B,day,839.2,105,12.05,1.81,234,25.3,173.1,1
B00932,D,night,843.3,90,12.71,1.0,"1,029",26.0,173.5,1
B00555,b,night,820.9,105,8.85,1.25,"1,156",22.8,165.5,0
B00374,B,day,805.2,105,14.56,0.62,"1,208",25.3,162.7,0
B01309,C ,day,826.3,90,13.57,1.34,"1,280",24.9,166.9,0
B00845, E,day,856.7,90,8.43,1.43,876,22.8,176.3,1
B00966,C,day,804.4,150,11.46,1.52,393,24.3,164.8,0
B01258,D,night,839.6,135,13.53,1.19,"1,245",23.5,171.0,1
B00086,E,day,834.1,150,11.65,1.37,892,26.9,172.2,1
B00246,B,night,860.0,135,10.37,1.62,723,22.6,174.5,1
B00094,A ,night,870.0,120,12.84,0.96,800,21.4,176.3,1
B00831,B,day,889.5,90,-,0.88,"1,220",24.3,175.2,1
B01298,F ,day,901.2,150,12.34,1.43,397,23.6,180.7,1
B00219,c,night,848.1,105,13.43,1.28,389,23.3,177.2,1
B00028,D ,night,847.1,150,10.83,0.65,391,25.6,180.8,1
B01138,B ,day,837.4,105,13.55,1.04,976,22.6,167.9,0
B01310,a,day,930.0,150,9.7,0.8,873,999.0,172.1,1
B01073,D,day,863.7,105,13.34,0.68,"1,005",25.0,176.0,1
B00982,A ,night,843.0,150,12.04,N/A,"1,680",27.5,168.9,0
B01220,C,night,823.2,135,12.45,1.02,"1,022",27.6,170.1,1
B01259,A,night,791.4,105,14.42,0.91,540,24.1,156.8,0
B00377,A,night,798.9,90,15.65,1.51,"1,016",24.4,156.3,0
B00600,f,night,838.8,90,,1.53,"1,046",25.2,173.0,1
B00993,F,day,847.8,150,12.29,2.08,638,23.4,179.7,1
B00457,D,night,842.3,135,12.58,1.09,944,22.6,173.3,1
B00695,B,night,877.9,105,12.44,0.91,755,22.5,179.0,1
B00181,B,night,861.9,105,12.0,1.43,"1,656",22.8,172.1,0
B01137,F,day,833.2,105,15.09,1.4,"1,247",23.1,166.9,0
B00161,D,day,841.7,150,9.86,1.65,"1,086",22.3,175.1,1
B01139,C,night,820.6,120,14.27,1.6,"1,082",26.3,166.4,0
B00248,C ,day,839.9,105,N/A,0.6,299,24.9,177.0,1
B00463,A ,night,827.0,120,13.85,1.61,"1,055",27.3,166.1,0
B00532,F,day,851.1,90,13.89,1.35,903,25.7,171.3,1
B00117,a,day,856.2,90,N/A,1.56,468,22.0,170.6,1
B00642,d,day,886.5,150,8.16,0.98,489,22.0,182.0,1
B00041,f,day,832.3,90,12.48,N/A,"1,477",27.7,171.0,1
B00257,C,day,829.2,150,8.61,1.22,132,22.3,177.9,1
B00749, F,night,859.3,120,13.32,1.35,"1,296",23.7,175.7,1
B01039, B,night,855.9,105,5.13,1.51,"1,394",23.4,170.6,1
B00939, F,day,838.3,150,13.38,0.78,"1,105",25.6,176.8,1
B01244,D,day,855.1,135,12.88,1.64,875,26.5,174.3,1
B01115,B ,day,891.2,90,11.41,1.43,"1,151",19.6,172.2,1
B00556, D,night,823.4,90,15.42,1.17,"1,290",26.3,165.0,0
B00570,E,night,779.5,120,-,1.26,643,20.9,157.0,0
B00217,D,day,855.9,150,17.22,0.68,725,29.0,177.1,1
B00215,E,night,783.1,120,,0.59,399,23.6,161.1,0
B00683, E,day,861.6,150,10.8,0.61,"1,080",25.6,180.5,1
B00629,D,day,872.2,135,10.63,1.36,651,27.5,178.2,1
B00156,F,night,879.0,150,7.35,1.03,862,22.6,180.2,1
B00621,B,night,894.3,135,10.97,1.55,530,22.6,177.8,1
B00890,A,day,879.2,135,10.38,0.72,406,24.2,179.7,1
B00795,A,day,889.8,90,8.9,0.66,598,23.6,180.9,1
B01190,F,night,803.9,120,13.62,1.95,966,21.7,160.5,0
B01195,D,day,839.0,120,15.17,1.41,"1,359",26.3,168.5,1
B00365, C,night,838.7,105,12.14,1.48,"1,236",29.2,166.3,0
B01397,D,night,871.2,120,12.93,1.31,379,24.4,176.5,1
B00858,B,night,890.9,150,13.39,1.02,930,24.9,178.1,1
B00373, A,day,846.1,120,7.95,1.32,618,27.0,173.9,1
B00025,C,day,825.5,105,15.69,0.96,918,21.7,167.6,0
B00135,E,night,903.6,105,13.93,1.21,646,21.4,175.8,1
B00566,B,night,865.2,105,7.34,1.41,539,25.2,177.1,1
B01050, E,day,820.6,150,7.87,0.4,896,23.6,176.1,1
B01353, E,day,867.8,105,16.1,1.3,921,26.0,178.0,1
B01069,A,night,823.0,150,8.99,1.82,841,25.0,168.4,1
B01166,D,day,857.2,90,12.57,1.71,906,25.3,171.8,1
B00093,a,day,841.0,90,N/A,1.17,787,24.0,171.9,1
B00352,f,day,851.2,120,13.02,1.27,385,27.0,180.2,1
B00220,D,day,841.1,120,11.64,0.97,284,22.9,175.9,1
B00883,D,day,855.6,120,12.65,1.95,"1,400",22.3,171.6,1
B00225,D,night,864.2,90,11.38,1.13,598,23.7,176.6,1
B00778,A,night,843.4,150,12.86,1.58,309,26.5,170.6,1
B01004,B,night,837.4,150,N/A,1.71,429,21.3,172.5,1
B00584,B,night,827.0,150,10.78,1.93,"1,231",23.6,166.1,0
B01146,F,night,806.9,150,12.03,1.45,928,30.1,164.6,0
B01068,b,day,850.2,150,9.11,0.92,714,22.6,179.5,1
B00835,F,day,829.3,150,12.2,0.95,955,23.0,170.7,1
B01319,F,day,791.0,150,13.06,1.65,"1,539",23.2,154.8,0
B00541,F,day,844.4,105,10.31,0.75,968,19.4,175.2,1
B00383,F,day,871.1,150,11.39,0.86,325,24.4,182.0,1
B01278,C,day,836.5,105,12.28,0.97,180,21.3,174.6,1
B00786,C,night,883.5,105,13.39,1.09,"1,407",20.1,176.9,1
B01238,F,day,875.1,105,10.15,0.57,499,24.8,184.1,1
B00971,F,night,840.3,135,12.08,1.86,"1,316",23.0,172.5,1
B01001, C,night,827.5,150,12.08,-,950,25.3,173.3,1
B01351,F,night,813.6,150,12.69,1.15,732,23.0,170.4,1
B01034,B,day,805.8,135,13.83,2.44,904,25.4,161.5,0
B00853,E ,night,877.1,150,N/A,0.87,621,23.1,186.8,1
B00325,A,day,853.7,105,11.82,1.43,830,24.7,171.0,1
B01108,D,day,863.8,105,10.82,1.57,683,20.5,175.5,1
B00871,E,night,853.4,150,7.46,0.93,705,21.0,179.2,1
B01312, D,night,849.2,150,10.44,1.5,397,25.1,175.7,1
B00887, C,day,818.6,105,10.43,1.89,575,26.0,164.7,0
B01360,A,day,931.6,90,8.98,1.84,950,21.2,171.6,1
B00803,E ,night,822.0,135,8.61,N/A,730,26.1,173.1,1
B00951,A,day,850.7,90,9.89,1.1,240,22.9,174.6,1
B00100,F,day,908.4,120,11.93,1.3,"1,592",27.8,174.8,0
B01326,E,day,903.0,105,-,1.44,"1,300",23.4,175.7,1
B01343,E,night,792.2,105,13.08,1.03,886,27.5,160.7,0
B00420,E,night,784.2,90,13.59,1.18,939,25.9,152.7,0
B00308,E,night,876.3,90,13.08,1.61,978,19.5,176.7,1
